"ItemID","Description","ItemClass","Category","Material","Style","Color","HeightFt","WidthFt","Retail","Cost"
"CEFCAP","CEF RAIL CAP PER FT","Non-stock item","Cap","","","","","","0.78","0.43"
"CEFCAP16","CEF RAIL CAP 16 ft","Non-stock item","Cap","","","","","6","12.51","6.88"
"CEFCAP3","CEF RAIL CAP 3 ft","Non-stock item","Cap","","","","3","3","2.35","1.29"
"CEFCAP4","CEF RAIL CAP 4 ft","Non-stock item","Cap","","","","4","4","3.13","1.72"
"CEFCAP6","CEF RAIL CAP 6 ft","Non-stock item","Cap","","","","6","6","4.69","2.58"
"CEFCAP8","CEF RAIL CAP 8 ft","Non-stock item","Cap","","","","8","8","6.25","3.44"
"CENT4","4 CENTEREACH WITH DIAMOND","Non-stock item","Other","","","","","","0","0"
"CENT5","5 CENTEREACH WITH DIAMOND","Non-stock item","Other","","","","","","0","0"
"CENT6","6 CENTEREACH WITH DIAMOND","Non-stock item","Other","","","","","","0","0"
"CG436","CUSTOM WOOD GATE 4 x 36","Non-stock item","Gate","Wood","","","4","3","302.72","151.36"
"CG442","CUSTOM WOOD GATE 4 x 42","Non-stock item","Gate","Wood","","","4","4","316","158"
"CG448","CUSTOM WOOD GATE 4 x 48","Non-stock item","Gate","Wood","","","4","4","302.72","151.36"
"CG460","CUSTOM WOOD GATE 4 x 60","Non-stock item","Gate","Wood","","","4","6","351.54","175.77"
"CG472","CUSTOM WOOD GATE 4 x 72","Non-stock item","Gate","Wood","","","4","","0","0"
"CG536","CUSTOM WOOD GATE 5 x 36","Non-stock item","Gate","Wood","","","5","3","302.72","151.36"
"CG542","CUSTOM WOOD GATE 5 x 42","Non-stock item","Gate","Wood","","","5","4","555.62","277.81"
"CG548","CUSTOM WOOD GATE 5 x 48","Non-stock item","Gate","Wood","","","5","4","650","325"
"CG560","CUSTOM WOOD GATE 5 x 60","Non-stock item","Gate","Wood","","","5","6","700","350"
"CG572","CUSTOM WOOD GATE 5 x 72","Non-stock item","Gate","Wood","","","5","","0","0"
"CG636","CUSTOM WOOD GATE 6 x 36","Non-stock item","Gate","Wood","","","6","3","365.7","182.85"
"CG642","CUSTOM WOOD GATE 6 x 42","Non-stock item","Gate","Wood","","","6","4","390","195"
"CG648","CUSTOM WOOD GATE 6 x 48","Non-stock item","Gate","Wood","","","6","4","406.5","203.25"
"CG660","CUSTOM WOOD GATE 6 x 60","Non-stock item","Gate","Wood","","","6","6","520","260"
"CG672","CUSTOM WOOD GATE 6 x 72","Non-stock item","Gate","Wood","","","6","","0","0"
"CGL200","2in Round MALL ROLL EASY GATE","Non-stock item","Gate","","","","","","21.72","12.6"
"CGSFT","field center stop","Non-stock item","Other","","","","","","15.2","8.36"
"CGSMT","MUSHROOM CENTER STOP","Non-stock item","Other","","","","","","28.56","15.71"
"CH100N","Corner stone nylon self closin","Non-stock item","Other","","","","","","35","23.1"
"CHAIN40","#40 X 20 FT BOX GATE OPERATOR","Non-stock item","Gate","Chain Link","","","","","145.45","80"
"CHARGE","","Non-stock item","Other","","","","","","0","0"
"CHEST4","4' X 8' Certainteed - Chesterf","Non-stock item","Other","PVC/Vinyl","Certainteed","","8","8","389.73","214.35"
"CHEST5","5' x 8' Certainteed - Chesterf","Non-stock item","Other","PVC/Vinyl","Certainteed","","8","8","464.96","255.73"
"CHEST6","6' x 8' Certainteed - Chesterf","Non-stock item","Other","PVC/Vinyl","Certainteed","","8","8","548.31","301.57"
"Chestg44","4' x 50-1/2"""" Certainteed -Che","Non-stock item","Gate","PVC/Vinyl","Certainteed","","4","5","657.25","361.49"
"CHESTg53","5' x 36-1/2"""" Certainteed - Ch","Non-stock item","Gate","PVC/Vinyl","Certainteed","","5","5","598.11","328.96"
"CHESTG54","5' x 50-1/2"""" Certainteed - Ch","Non-stock item","Gate","PVC/Vinyl","Certainteed","","5","5","747.6","411.18"
"CHESTG55","5' x 64-1/2"""" Certainteed - Ch","Non-stock item","Gate","PVC/Vinyl","Certainteed","","5","6","934.51","513.98"
"CHESTG63","6' x 36-1/2"""" Certainteed - Ch","Non-stock item","Gate","PVC/Vinyl","Certainteed","","6","6","663.69","365.03"
"CHESTG64","6' x 50-1/2"""" Certainteed - Ch","Non-stock item","Gate","PVC/Vinyl","Certainteed","","6","6","829.62","456.29"
"CHESTG65","6' x 64-1/2"""" Certainteed - Ch","Non-stock item","Gate","PVC/Vinyl","Certainteed","","6","6","1037.04","570.37"
"CHESTgk4","4' x up to 50-1/2"""" Certaintee","Non-stock item","Other","","","","4","4","318.64","175.25"
"CHESTGK5","5' x up to 50-1/2"""" Certaintee","Non-stock item","Other","","","","5","5","356.36","196"
"CHESTGK6","6' x up to 50-1/2"""" Certaintee","Non-stock item","Other","","","","6","6","375.58","206.57"
"CHESTL6","6' x 8' Certainteed - Chesterf","Non-stock item","Other","PVC/Vinyl","Certainteed","","8","8","0","0"
"CHESTLG63","6' x 36-1/2"""" Chesterfield wit","Non-stock item","Gate","PVC/Vinyl","Chesterfield","","6","6","0","0"
"CHESTLG64","6' x 50-1/2"""" Chesterfield wit","Non-stock item","Gate","PVC/Vinyl","Chesterfield","","6","6","0","0"
"CHESTLG65","6' x 64-1/2"""" Chesterfield wit","Non-stock item","Gate","PVC/Vinyl","Chesterfield","","6","6","0","0"
"CHESTV6","6' x 8' Certainteed - Chesterf","Non-stock item","Other","PVC/Vinyl","Certainteed","","8","8","626.22","344.42"
"CHESTVG63","6' x 36-1/2"""" Chesterfield wit","Non-stock item","Gate","PVC/Vinyl","Chesterfield","","6","6","0","0"
"CHESTVG64","6' x 50-1/2"""" Chesterfield wit","Non-stock item","Gate","PVC/Vinyl","Chesterfield","","6","6","836.56","460.11"
"CHESTVG65","6' x 64-1/2"""" Chesterfield wit","Non-stock item","Gate","PVC/Vinyl","Chesterfield","","6","6","0","0"
"CHH25","1/4 in. CHAIN","Non-stock item","Other","Chain Link","","","","","6.67","2"
"CHH316","3/16 in. CHAIN","Non-stock item","Other","Chain Link","","","","","2","1"
"CHH38","3/8 in. CHAIN","Non-stock item","Other","Chain Link","","","","","6","3"
"CHH516","5/16 in. CHAIN","Non-stock item","Other","Chain Link","","","","","3.28","1.64"
"CHQH","Certainteed Hinge & latch set","Non-stock item","Hinge","PVC/Vinyl","Certainteed","","","","318.65","175.26"
"CHW","CANTILEVER HELPER WHEEL","Non-stock item","Other","","","","","","46.76","25.25"
"CL300","3 in CANTILEVER FEMALE LATCH","Non-stock item","Latch","","","","","","43.74","21.87"
"CL400","4 in CANTILEVER FEMALE LATCH","Non-stock item","Latch","","","","","","50.62","25.31"
"CL658","6-5/8 in CANTILEVER FEMALE LAT","Non-stock item","Other","","","","","","162.72","81.36"
"CL-7210-GY","SELF CLOSING CL HINGE 2-1/2 TO","Non-stock item","Hinge","","","","","","118.31","65.07"
"CLAR46","CLARENDON 4 x 6 SECTION","Non-stock item","Section","","Clarendon","","4","6","142.96","78.63"
"CLAR56","CLARENDON 5 x 6 SECTION","Non-stock item","Section","","Clarendon","","5","6","150.38","82.71"
"CLAR66","CLARENDON 6 x 6 SECTION","Non-stock item","Section","","Clarendon","","6","6","157.69","86.73"
"CLARG43","CLARENDON GATE 4 x 3 OPEN","Non-stock item","Gate","","Clarendon","","4","3","218.28","109.14"
"CLARG44","CLARENDON GATE 4 x 4 OPEN","Non-stock item","Gate","","Clarendon","","4","4","231.46","115.73"
"CLARG45","CLARENDON GATE 4 x 5 OPEN","Non-stock item","Gate","","Clarendon","","4","5","246.12","123.06"
"CLARG53","CLARENDON GATE 5 x 3 OPEN","Non-stock item","Gate","","Clarendon","","5","3","228.84","114.42"
"CLARG54","CLARENDON GATE 5 x 4 OPEN","Non-stock item","Gate","","Clarendon","","5","4","403.42","201.71"
"CLARG55","CLARENDON GATE 5 x 5 OPEN","Non-stock item","Gate","","Clarendon","","5","5","259.54","129.77"
"CLARG63","CLARENDON GATE 6 x 3 OPEN","Non-stock item","Gate","","Clarendon","","6","3","240.16","120.08"
"CLARG64","CLARENDON GATE 6 x 4 OPEN","Non-stock item","Gate","","Clarendon","","6","4","256.3","128.15"
"CLARG65","CLARENDON GATE 6 x 5 OPEN","Non-stock item","Gate","","Clarendon","","6","5","273.92","136.96"
"CLAY44","CLAYTON 4 x 4 SECTION","Non-stock item","Section","","Clayton","","4","4","126.75","69.71"
"CLAY46","CLAYTON 4 x 6 SECTION","Non-stock item","Section","","Clayton","","4","6","173.49","95.42"
"CLAY54","CLAYTON 5 x 4 SECTION","Non-stock item","Section","","Clayton","","5","4","136.75","75.21"
"CLAY56","CLAYTON 5 x 6 SECTION","Non-stock item","Section","","Clayton","","5","6","188.87","103.88"
"CLAY64","CLAYTON 6 x 4 SECTION","Non-stock item","Section","","Clayton","","6","4","146.76","80.72"
"CLAY66","CLAYTON 6 x 6 SECTION","Non-stock item","Section","","Clayton","","6","6","204.27","112.35"
"CLAYG43","CLAYTON GATE 4 x 3 OPEN","Non-stock item","Gate","","Clayton","","4","3","206.8","103.4"
"CLAYG44","CLAYTON GATE 4 x 4 OPEN","Non-stock item","Gate","","Clayton","","4","4","222.6","111.3"
"CLAYG45","CLAYTON GATE 4 x 5 OPEN","Non-stock item","Gate","","Clayton","","4","5","240.04","120.02"
"CLAYG53","CLAYTON GATE 5 x 3 OPEN","Non-stock item","Gate","","Clayton","","5","3","219.28","109.64"
"CLAYG54","CLAYTON GATE 5 x 4 OPEN","Non-stock item","Gate","","Clayton","","5","4","237.66","118.83"
"CLAYG55","CLAYTON GATE 5 x 5 OPEN","Non-stock item","Gate","","Clayton","","5","5","244.04","122.02"
"CLAYG63","CLAYTON GATE 6 x 3 OPEN","Non-stock item","Gate","","Clayton","","6","3","232.6","116.3"
"CLAYG64","CLAYTON GATE 6 x 4 OPEN","Non-stock item","Gate","","Clayton","","6","4","254.34","127.17"
"CLAYG65","CLAYTON GATE 6 x 5 OPEN","Non-stock item","Gate","","Clayton","","6","5","276.08","138.04"
"CLC400","4"""" Cantilever gate collector","Non-stock item","Gate","","","","","","73.04","36.52"
"COM4","COMMACK 4 x 8 SECTION","Non-stock item","Section","","Commack","","4","8","270.62","115.84"
"COM5","COMMACK 5 x 8 SECTION","Non-stock item","Section","","Commack","","5","8","311.24","138.18"
"COM6","COMMACK 6 x 8 SECTION","Non-stock item","Section","","Commack","","6","8","351.85","160.52"
"COMG43","COMMACK GATE 4 x 3 OPEN","Non-stock item","Gate","","Commack","","4","3","0","0"
"COMG44","COMMACK GATE 4 x 4 OPEN","Non-stock item","Gate","","Commack","","4","4","0","0"
"COMG45","COMMACK GATE 4 x 5 OPEN","Non-stock item","Gate","","Commack","","4","5","0","0"
"COMG53","COMMACK GATE 5 x 3 OPEN","Non-stock item","Gate","","Commack","","5","3","0","0"
"COMG54","COMMACK GATE 5 x 4 OPEN","Non-stock item","Gate","","Commack","","5","4","0","0"
"COMG55","COMMACK GATE 5 x 5 OPEN","Non-stock item","Gate","","Commack","","5","5","0","0"
"COMG63","COMMACK GATE 6 x 3 OPEN","Non-stock item","Gate","","Commack","","6","3","0","0"
"COMG64","COMMACK GATE 6 x 4 OPEN","Non-stock item","Gate","","Commack","","6","4","0","0"
"COMG65","COMMACK GATE 6 x 5 OPEN","Non-stock item","Gate","","Commack","","6","5","0","0"
"COMMERCIAL ROLL GATE","","Non-stock item","Gate","","","","","","0","0"
"COMMERCIAL SWING GAT","","Stock item","Other","","","","","","0","0"
"COMPOST","COMPOST BIN","Non-stock item","Other","","","","","","289.75","159.36"
